Sequence,Time,Acceleration,AngularVelocity,State
0,200.0,874.39,1807.38,0
1,400.0,705.75,1788.46,0
2,600.0,836.46,1827.46,0
4,1000.0,712.69,2136.28,0
5,1200.0,497.16,1883.12,0
6,1400.0,488.1,1807.97,0
8,1800.0,3930.03,7185.79,0
9,2000.0,2026.16,7145.44,0
10,2200.0,3596.06,11869.36,0
12,2600.0,3120.01,4204.28,0
13,2800.0,3913.98,3635.04,0
14,3000.0,6673.76,3861.13,0
16,3400.0,1909.85,10958.52,0
18,3800.0,4316.84,21080.04,0
20,4200.0,2213.44,781.36,0
21,4400.0,6910.8,8500.35,0
22,4600.0,2375.26,18560.61,0
24,5000.0,7031.71,5947.46,0
26,5400.0,1696.74,3951.42,0
27,5600.0,5802.66,9700.87,0
28,5800.0,12586.84,13720.44,0
31,6400.0,6820.96,18995.48,0
33,6800.0,11105.92,6074.32,0
34,7000.0,7145.88,5592.77,0
36,7400.0,6477.42,16059.44,0
38,7800.0,8786.84,8909.23,0
39,8000.0,8079.61,7971.77,0
40,8200.0,8528.18,20411.7,0
42,8600.0,10470.62,17713.15,0
45,9200.0,10921.68,4734.4,0
47,9600.0,5608.4,4350.83,0
48,9800.0,6623.19,9438.04,0
49,10000.0,3650.41,5717.55,0
51,10400.0,14570.92,17437.81,0
54,11000.0,11551.75,18696.15,0
55,11200.0,11368.83,17000.54,0
57,11600.0,6215.32,7398.39,0
59,12000.0,9408.69,5270.84,0
62,12600.0,9867.36,11122.5,0
64,13000.0,9185.65,18978.47,0
66,13400.0,13523.06,25939.78,0
68,13800.0,1176.16,14250.77,1
71,14400.0,23652.76,4334.06,1
73,14800.0,21325.94,1302.9,1
76,15400.0,21171.63,1545.42,1
78,15800.0,22269.33,24433.17,1
80,16200.0,27334.72,1429.22,1
82,16600.0,24436.11,3978.44,1
84,17000.0,24809.12,1775.23,0
86,17400.0,19384.07,3516.88,0
88,17800.0,14552.05,7469.72,0
90,18200.0,16792.96,3857.04,0
92,18600.0,16882.41,5117.95,0
94,19000.0,15198.93,1352.95,0
96,19400.0,16434.01,1542.31,0
98,19800.0,17013.47,1485.7,0
100,20200.0,15520.04,1504.73,0
102,20600.0,16340.78,1427.74,0
104,21000.0,16111.01,1760.08,0
106,21400.0,17116.83,1295.81,0
108,21800.0,16563.82,1555.04,0
110,22200.0,15378.53,4084.98,0
112,22600.0,10965.41,2910.81,0
114,23000.0,11178.55,1464.08,0
116,23400.0,11671.39,1446.34,0
118,23800.0,11872.41,1572.74,0
120,24200.0,11535.55,1612.59,0
122,24600.0,11978.77,1476.02,0
124,25000.0,12142.55,1471.82,0
126,25400.0,12086.06,1497.71,0
128,25800.0,11958.23,1413.35,0
130,26200.0,11967.64,1505.81,0
132,26600.0,12313.77,1458.49,0
134,27000.0,11944.97,1752.94,0
136,27400.0,11683.99,1422.96,0
138,27800.0,11918.35,1464.52,0
140,28200.0,12091.41,1615.3,0
142,28600.0,11545.21,1466.96,0
144,29000.0,12093.98,1466.51,0
146,29400.0,12226.8,1469.45,0
148,29800.0,11887.31,1502.51,0
150,30200.0,11961.88,1511.84,0
152,30600.0,12043.22,1472.46,0
154,31000.0,11718.87,1486.64,0
156,31400.0,11707.77,1454.98,0
158,31800.0,12007.01,1507.56,0
160,32200.0,12001.62,1582.77,0
162,32600.0,11737.25,1423.4,0
164,33000.0,12005.71,1502.39,0
166,33400.0,12272.38,1373.41,0
